"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Ref.";
1;"REF***";"WEEE-Logo_4.2x6mm_SilkScreen";1;"WEEE-Logo_4.2x6mm_SilkScreen";;;
2;"REF**";"Symbol_KiCAD-Logo_CopperAndSilkScreenTop";1;"KiCAD Logo";;;
3;"G***";"Shimatta_SolderMask";1;"LOGO";;;
4;"P3";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"CONN_01X02";;;
5;"P5";"IDC_Header_Straight_6pins";1;"CONN_02X03";;;
6;"Y1";"Crystal_HC49-U_Vertical";1;"12MHz";;;
7;"C1,C4";"CP_Radial_D5.0mm_P2.00mm";2;"47u";;;
8;"D1,D2";"D_MiniMELF_Handsoldering";2;"3V3";;;
9;"D3,D6";"LED_0805";2;"BLUE";;;
10;"D4";"LED_0805";1;"RED";;;
11;"D5";"LED_0805";1;"GREEN";;;
12;"IC1";"TQFP-32_7x7mm_Pitch0.8mm";1;"ATMEGA8-16AU";;;
13;"J1";"DB9FC";1;"DB9";;;
14;"P1";"USB_Mini-B";1;"USB_OTG";;;
15;"P4";"IDC_Header_Straight_10pins";1;"CONN_02X05";;;
16;"U1";"SOT-223";1;"LM1117-3.3";;;
17;"SW2";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"SW_SPDT";;;
18;"SW1";"SW_Micro_Slide_3.8";1;"SW_SPDT";;;
19;"C2,C3,C5,C6,C9,C10";"C_0603_HandSoldering";6;"100n";;;
20;"C7,C8";"C_0603_HandSoldering";2;"22p";;;
21;"P2";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"CONN_01X03";;;
22;"R1";"R_0603_HandSoldering";1;"2k2";;;
23;"R2,R3";"R_0603_HandSoldering";2;"39";;;
24;"R4,R12";"R_0603_HandSoldering";2;"10k";;;
25;"R5";"R_0603_HandSoldering";1;"1";;;
26;"R6,R7,R8,R9";"R_0603_HandSoldering";4;"100";;;
27;"R10,R13,R14,R15,R16";"R_0603_HandSoldering";5;"1k";;;
28;"R11";"R_0603_HandSoldering";1;"22k";;;
